證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
00635U,560392,196,12238996,21.82,21.86,21.81,21.85,0.22,21.85,6,21.86,8,0.0
00636,795908,169,16919849,21.32,21.37,21.08,21.28,0.17,21.27,4,21.28,12,0.0
00636K,100,1,690,6.9,6.9,6.9,6.9,0.04,6.87,11,6.92,11,0.0
00637L,101889166,9313,1827005766,17.85,18.2,17.76,18.0,0.21,17.99,134,18.0,288,0.0
00638R,531000,119,6426000,12.15,12.17,12.05,12.06,0.02,12.06,214,12.09,1,0.0
00639,1896367,186,19309348,10.14,10.25,10.14,10.19,0.16,10.19,6,10.2,2,0.0
00640L,374000,31,7185600,19.19,19.25,19.13,19.23,0.14,19.2,18,19.23,47,0.0
00641R,312000,24,4653800,14.9,14.94,14.9,14.92,0.08,14.89,103,14.92,26,0.0
00642U,10870350,3255,168497929,15.52,15.53,15.47,15.51,0.15,15.5,203,15.51,1428,0.0
00643,839381,268,9829972,11.81,11.81,11.62,11.73,0.17,11.71,2,11.73,37,0.0
00643K,0,0,0,,,,,0.0,2.68,10,2.75,2,0.0
00645,75759,13,1549771,20.43,20.47,20.41,20.45,0.13,20.45,1,20.47,1,0.0
00646,303220,161,8262710,27.19,27.27,27.18,27.25,0.4,27.24,12,27.26,21,0.0
00647L,75000,50,2592220,34.58,34.63,34.5,34.53,1.18,34.5,7,34.53,1,0.0
00648R,635100,146,7832133,12.32,12.35,12.31,12.34,0.2,12.33,303,12.34,7,0.0
00649,129000,35,2528140,19.76,19.76,19.52,19.6,0.2,19.58,21,19.6,5,0.0
00650L,458000,212,12135700,26.6,26.73,26.31,26.39,0.45,26.35,2,26.39,7,0.0
00651R,1504000,353,13374420,8.98,8.98,8.84,8.91,0.06,8.9,81,8.91,40,0.0
00652,35901,23,811761,22.5,22.7,22.5,22.67,0.06,22.67,4,22.7,1,0.0
00653L,601000,195,15883450,26.41,26.6,26.37,26.44,0.1,26.44,1,26.5,1,0.0
00654R,70000,11,997740,14.26,14.27,14.25,14.25,0.02,14.22,50,14.23,1,0.0
00655L,8678042,1674,293040377,33.7,34.27,33.4,33.94,0.38,33.93,6,33.94,56,0.0
00656R,145000,36,1597000,11.07,11.08,10.97,11.0,0.07,11.0,1,11.01,749,0.0
00657,101000,3,2698690,26.69,26.72,26.69,26.72,0.22,26.7,1,26.74,35,0.0
00657K,100,1,866,8.66,8.66,8.66,8.66,0.07,8.63,10,8.7,11,0.0
00658L,4000,4,129610,32.36,32.51,32.34,32.51,0.45,32.42,2,32.44,4,0.0
